"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/3DModels/PlanetTextures/2/2.2","0","0","19","1","0.000000","0","0"
"/Game/3DModels/PlanetTextures/1/1.1","0","0","19","1","0.000000","0","0"
"/Game/3DModels/Enviroment/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/3DModels/CoverShootingGround/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/3DModels/CoverShooting/lambert2.lambert2","0","0","19","1","0.000000","0","0"
"/Game/3DModels/CoverShooting/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/3DModels/BigBuilding/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Game/3DModels/BigArena/BigArena.BigArena","0","0","19","1","0.000000","0","0"
"/Game/3DModels/BiggerEnviroment/standardSurface1.standardSurface1","0","0","19","1","0.000000","0","0"
"/Game/3DModels/BiggerEnviroment/standardSurface8.standardSurface8","0","0","19","1","0.000000","0","0"
"/Game/3DModels/BiggerEnviroment/lambert1.lambert1","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","10","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","47","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","8","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","72","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","104","1","0.000000","0","0"
"/Game/ThirdPerson/Animation/Textures/lambert1.lambert1","0","0","52","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","0","62","2","0.000000","0","0"
